date,tickets,channel,first_response_mins
2023-03-29,405,email,82.8
2023-03-30,129,chat,82.1
2023-03-31,106,email,34.0
2023-04-01,56,email,35.1
2023-04-02,54,email,24.0
2023-04-03,110,email,31.2
2023-04-04,128,email,26.3
2023-04-05,119,email,39.6
2023-04-06,112,chat,40.3
2023-04-07,123,chat,47.0
2023-04-08,46,chat,9.9
2023-04-09,51,phone,18.1
2023-04-10,133,email,81.1
2023-04-11,131,chat,59.9
2023-04-12,119,email,54.4
2023-04-13,144,email,20.5
2023-04-14,117,chat,24.6
2023-04-15,53,email,23.2
2023-04-16,53,phone,44.0
2023-04-17,129,email,60.7
2023-04-18,121,email,21.4
2023-04-19,100,email,20.5
2023-04-20,109,email,16.8
2023-04-21,123,chat,16.2
2023-04-22,53,chat,25.3
2023-04-23,59,chat,7.9
2023-04-24,109,chat,17.1
2023-04-25,124,email,8.5
2023-04-26,129,email,24.2
2023-04-27,119,chat,76.8
2023-04-28,118,chat,13.1
2023-04-29,56,email,32.5
2023-04-30,54,email,7.7
2023-05-01,107,email,55.9
2023-05-02,541,chat,50.9
2023-05-03,138,email,111.8
2023-05-04,126,chat,24.5
2023-05-05,114,email,29.9
2023-05-06,62,chat,50.6
2023-05-07,51,chat,47.6
2023-05-08,123,chat,13.8
2023-05-09,138,email,5.6
2023-05-10,112,chat,78.8
2023-05-11,94,email,31.2
2023-05-12,129,chat,9.5
2023-05-13,59,email,53.8
2023-05-14,53,chat,27.4
2023-05-15,107,chat,16.6
2023-05-16,126,chat,34.2
2023-05-17,106,email,64.3
2023-05-18,119,chat,17.5
2023-05-19,147,chat,32.9
2023-05-20,60,email,20.9
2023-05-21,43,chat,14.2
2023-05-22,134,phone,58.8
2023-05-23,124,email,4.6
2023-05-24,127,email,30.0
2023-05-25,113,email,50.4
2023-05-26,120,email,51.5
2023-05-27,49,email,38.4
2023-05-28,55,phone,30.3
2023-05-29,124,email,84.3
2023-05-30,123,email,14.4
2023-05-31,105,chat,8.7
2023-06-01,474,email,33.3
2023-06-02,427,phone,18.6
2023-06-03,58,phone,36.9
2023-06-04,59,email,5.5
2023-06-05,289,chat,63.0
2023-06-06,103,email,123.6
2023-06-07,114,chat,14.3
2023-06-08,122,email,29.4
2023-06-09,118,email,15.9
2023-06-10,56,chat,14.0
2023-06-11,58,chat,16.3
2023-06-12,114,email,14.0
2023-06-13,128,email,13.2
2023-06-14,135,email,19.1
2023-06-15,130,phone,39.7
2023-06-16,133,email,39.0
2023-06-17,53,phone,136.6
2023-06-18,50,chat,10.8
2023-06-19,129,email,18.3
2023-06-20,115,email,28.2
2023-06-21,97,chat,24.2
2023-06-22,120,email,68.0
2023-06-23,104,chat,18.4
2023-06-24,49,chat,21.9
2023-06-25,58,chat,19.0
2023-06-26,126,chat,15.1
2023-06-27,129,email,53.8
2023-06-28,139,chat,30.3
2023-06-29,122,chat,20.6
2023-06-30,112,email,55.0
2023-07-01,58,email,71.3
2023-07-02,54,chat,29.4
2023-07-03,125,email,21.3
2023-07-04,362,email,14.3
2023-07-05,113,email,29.2
2023-07-06,112,email,14.8
2023-07-07,119,chat,69.4
2023-07-08,51,phone,38.4
2023-07-09,52,email,18.2
2023-07-10,115,chat,38.1
2023-07-11,118,email,3.7
2023-07-12,124,email,3.4
2023-07-13,130,email,15.4
2023-07-14,128,phone,61.2
2023-07-15,42,email,80.3
2023-07-16,54,chat,12.8
2023-07-17,133,email,17.6
2023-07-18,436,email,46.5
2023-07-19,127,chat,77.9
2023-07-20,117,chat,8.8
2023-07-21,125,chat,113.8
2023-07-22,49,email,18.4
2023-07-23,50,chat,5.0
2023-07-24,116,phone,3.9
2023-07-25,125,phone,5.7
2023-07-26,130,email,6.6
2023-07-27,107,chat,11.4
2023-07-28,123,email,22.6
2023-07-29,55,chat,11.7
2023-07-30,50,email,58.9
2023-07-31,120,email,47.4
2023-08-01,118,email,19.2
2023-08-02,120,chat,50.5
2023-08-03,106,chat,25.1
2023-08-04,122,email,74.4
2023-08-05,54,chat,39.2
2023-08-06,56,chat,7.8
2023-08-07,131,phone,50.6
2023-08-08,107,phone,64.4
2023-08-09,123,email,45.8
2023-08-10,121,email,71.7
2023-08-11,127,email,15.3
2023-08-12,60,email,26.8
2023-08-13,55,phone,14.5
2023-08-14,114,chat,19.3
2023-08-15,144,chat,17.5
2023-08-16,133,email,25.4
2023-08-17,135,chat,2.9
2023-08-18,130,email,67.4
2023-08-19,59,chat,17.8
2023-08-20,59,email,21.9
2023-08-21,120,chat,48.1
2023-08-22,106,email,16.5
2023-08-23,139,email,17.8
2023-08-24,106,email,69.9
2023-08-25,130,email,146.6
2023-08-26,48,chat,10.7
2023-08-27,50,phone,33.2
2023-08-28,130,phone,26.3
2023-08-29,133,chat,68.6
2023-08-30,116,phone,6.9
2023-08-31,103,chat,1.6
2023-09-01,115,chat,61.0
2023-09-02,41,phone,3.9
2023-09-03,45,phone,50.8
2023-09-04,123,email,37.2
2023-09-05,117,email,28.5
2023-09-06,122,email,63.5
2023-09-07,105,chat,29.8
2023-09-08,108,chat,43.8
2023-09-09,48,chat,18.5
2023-09-10,63,email,30.0
2023-09-11,127,phone,16.3
2023-09-12,103,email,31.8
2023-09-13,114,email,19.5
2023-09-14,110,chat,61.4
2023-09-15,129,email,11.1
2023-09-16,54,email,52.1
2023-09-17,53,chat,53.0
2023-09-18,109,chat,35.0
2023-09-19,105,email,101.0
2023-09-20,132,email,18.6
2023-09-21,290,email,13.3
2023-09-22,107,email,42.4
2023-09-23,56,chat,64.6
2023-09-24,52,phone,22.1
2023-09-25,120,email,47.3
2023-09-26,124,chat,10.3
2023-09-27,135,email,48.7
2023-09-28,106,chat,86.9
2023-09-29,107,email,41.4
2023-09-30,55,chat,54.4
2023-10-01,59,chat,28.3
2023-10-02,115,email,59.2
2023-10-03,135,email,9.1
2023-10-04,106,email,21.9
2023-10-05,105,email,27.2
2023-10-06,122,chat,29.3
2023-10-07,45,chat,77.4
2023-10-08,421,chat,44.3
2023-10-09,142,email,39.2
2023-10-10,105,email,25.9
2023-10-11,113,email,41.9
2023-10-12,126,phone,16.6
2023-10-13,127,phone,24.1
2023-10-14,58,chat,80.4
2023-10-15,43,email,18.6
2023-10-16,130,chat,90.2
2023-10-17,124,phone,7.8
2023-10-18,100,phone,21.9
2023-10-19,136,chat,92.3
2023-10-20,141,phone,20.1
2023-10-21,58,email,18.8
2023-10-22,49,phone,24.7
2023-10-23,126,chat,10.2
2023-10-24,114,chat,12.0
2023-10-25,113,chat,4.8
2023-10-26,112,email,32.8
2023-10-27,134,email,10.9
2023-10-28,56,email,75.0
2023-10-29,48,chat,83.3
2023-10-30,122,chat,7.3
2023-10-31,107,phone,11.3
2023-11-01,99,email,13.7
2023-11-02,120,chat,23.8
2023-11-03,96,email,97.7
2023-11-04,61,email,62.5
2023-11-05,65,email,32.3
2023-11-06,123,email,81.0
2023-11-07,126,email,26.2
2023-11-08,106,chat,55.6
2023-11-09,96,email,90.3
2023-11-10,201,chat,17.0
2023-11-11,298,chat,32.4
2023-11-12,54,email,11.2
2023-11-13,133,phone,42.4
2023-11-14,123,email,10.3
2023-11-15,118,chat,17.6
2023-11-16,141,email,35.6
2023-11-17,113,email,48.2
2023-11-18,54,email,27.0
2023-11-19,57,chat,22.3
2023-11-20,117,phone,37.1
2023-11-21,137,chat,116.7
2023-11-22,97,chat,16.4
2023-11-23,124,email,17.6
2023-11-24,118,chat,25.6
2023-11-25,56,email,23.2
2023-11-26,53,email,40.3
2023-11-27,127,email,32.3
2023-11-28,115,email,33.5
2023-11-29,359,email,42.1
2023-11-30,122,email,28.9
2023-12-01,311,email,29.8
2023-12-02,58,email,119.6
2023-12-03,60,email,20.5
2023-12-04,142,email,71.4
2023-12-05,132,chat,18.1
2023-12-06,115,email,37.4
2023-12-07,114,phone,47.6
2023-12-08,121,phone,11.4
2023-12-09,60,email,46.8
2023-12-10,49,phone,12.6
2023-12-11,97,email,90.6
2023-12-12,102,phone,9.4
2023-12-13,115,chat,45.3
2023-12-14,119,email,31.8
2023-12-15,110,email,17.8
2023-12-16,56,chat,16.8
2023-12-17,54,email,23.9
2023-12-18,109,chat,27.3
2023-12-19,121,email,20.8
2023-12-20,123,email,28.6
2023-12-21,122,phone,7.1
2023-12-22,132,email,16.9
2023-12-23,52,chat,109.3
2023-12-24,62,chat,55.3
2023-12-25,117,email,53.5
2023-12-26,125,email,50.3
2023-12-27,118,email,16.6
2023-12-28,116,chat,31.6
2023-12-29,113,phone,14.9
2023-12-30,46,chat,21.7
2023-12-31,54,chat,42.0
2024-01-01,120,chat,9.3
2024-01-02,118,email,47.9
2024-01-03,109,email,55.5
2024-01-04,124,email,60.0
2024-01-05,121,chat,18.0
2024-01-06,54,email,18.6
2024-01-07,56,chat,119.0
2024-01-08,107,chat,19.2
2024-01-09,131,email,13.9
2024-01-10,132,chat,70.3
2024-01-11,144,chat,57.5
2024-01-12,112,phone,20.5
2024-01-13,51,email,12.6
2024-01-14,57,email,36.2
2024-01-15,123,chat,43.5
2024-01-16,101,chat,50.8
2024-01-17,120,chat,36.3
2024-01-18,115,phone,18.6
2024-01-19,128,phone,10.0
2024-01-20,380,chat,20.2
2024-01-21,51,email,31.4
2024-01-22,113,phone,15.2
2024-01-23,348,email,40.9
2024-01-24,105,email,50.8
2024-01-25,127,email,71.4
2024-01-26,124,chat,32.7
2024-01-27,51,chat,11.2
2024-01-28,52,email,16.1
2024-01-29,132,phone,86.1
2024-01-30,130,email,59.7
2024-01-31,130,email,93.6
2024-02-01,112,chat,36.0
2024-02-02,115,phone,30.9
2024-02-03,48,chat,24.0
2024-02-04,56,phone,59.8
2024-02-05,114,email,12.3
2024-02-06,130,phone,41.2
2024-02-07,109,chat,12.8
2024-02-08,116,email,38.2
2024-02-09,133,chat,5.0
2024-02-10,54,chat,23.7
2024-02-11,54,email,18.2
2024-02-12,119,email,31.7
2024-02-13,124,chat,16.5
2024-02-14,103,chat,43.6
2024-02-15,117,chat,32.5
2024-02-16,107,chat,27.6
2024-02-17,54,chat,35.2
2024-02-18,53,chat,36.8
2024-02-19,128,chat,31.8
2024-02-20,111,email,57.1
2024-02-21,133,email,18.6
2024-02-22,111,email,34.4
2024-02-23,116,chat,7.5
2024-02-24,62,email,6.8
2024-02-25,56,email,26.9
2024-02-26,131,chat,21.5
2024-02-27,129,email,30.1
2024-02-28,132,email,10.3
2024-02-29,115,email,21.3
2024-03-01,124,chat,96.3
2024-03-02,58,email,9.6
2024-03-03,53,chat,52.3
2024-03-04,125,chat,21.8
2024-03-05,106,email,75.3
2024-03-06,130,chat,36.3
2024-03-07,107,email,22.0
2024-03-08,381,chat,20.5
2024-03-09,49,email,8.2
2024-03-10,62,chat,20.7
2024-03-11,107,phone,34.9
2024-03-12,116,email,20.5
2024-03-13,128,chat,51.7
2024-03-14,119,chat,30.1
2024-03-15,96,chat,38.1
2024-03-16,49,phone,17.2
2024-03-17,59,email,33.1
2024-03-18,106,phone,131.0
2024-03-19,103,email,70.3
2024-03-20,108,chat,47.4
2024-03-21,103,email,7.9
2024-03-22,112,email,28.1
2024-03-23,52,email,17.7
2024-03-24,56,phone,41.6
2024-03-25,122,email,35.9
2024-03-26,101,chat,29.8
2024-03-27,123,chat,22.6
2024-03-28,125,phone,31.1
2024-03-29,119,phone,53.6
2024-03-30,54,email,42.0
2024-03-31,62,phone,30.5
2024-04-01,111,email,90.2
2024-04-02,127,phone,13.5
2024-04-03,137,phone,14.6
2024-04-04,113,email,8.1
2024-04-05,109,chat,11.4
2024-04-06,56,email,78.8
2024-04-07,51,email,82.0
2024-04-08,121,phone,18.3
2024-04-09,119,email,47.3
2024-04-10,136,chat,5.2
2024-04-11,131,email,1.2
2024-04-12,120,chat,22.9
2024-04-13,55,phone,37.1
2024-04-14,44,chat,7.1
2024-04-15,130,phone,117.4
2024-04-16,118,chat,39.2
2024-04-17,139,phone,19.8
2024-04-18,136,email,72.8
2024-04-19,113,chat,21.1
2024-04-20,46,email,18.8
2024-04-21,55,chat,73.8
2024-04-22,133,chat,29.3
2024-04-23,115,chat,39.0
2024-04-24,121,email,17.5
2024-04-25,97,email,26.3
2024-04-26,129,phone,26.7
2024-04-27,38,email,18.7
2024-04-28,52,email,29.1
2024-04-29,130,email,3.0
2024-04-30,137,email,64.6
2024-05-01,130,chat,76.7
2024-05-02,109,email,15.5
2024-05-03,132,email,42.7
2024-05-04,56,email,8.0
2024-05-05,55,chat,33.5
2024-05-06,122,phone,20.1
2024-05-07,118,chat,106.2
2024-05-08,133,email,33.5
2024-05-09,126,email,84.2
2024-05-10,103,email,19.4
2024-05-11,57,phone,2.6
2024-05-12,55,chat,25.3
2024-05-13,113,chat,11.1
2024-05-14,106,chat,27.6
2024-05-15,121,chat,64.1
2024-05-16,134,chat,31.1
2024-05-17,126,chat,27.0
2024-05-18,53,chat,47.1
2024-05-19,50,chat,79.7
2024-05-20,123,chat,53.4
2024-05-21,103,email,35.8
2024-05-22,110,chat,32.4
2024-05-23,115,email,10.9
2024-05-24,120,phone,40.1
2024-05-25,62,phone,67.1
2024-05-26,51,chat,9.6
2024-05-27,139,email,21.2
2024-05-28,133,phone,40.8
2024-05-29,112,email,30.3
2024-05-30,120,phone,8.2
2024-05-31,114,chat,35.6
2024-06-01,52,phone,35.7
2024-06-02,56,phone,23.1
2024-06-03,117,chat,17.7
2024-06-04,112,email,31.5
2024-06-05,121,email,37.0
2024-06-06,130,phone,6.7
2024-06-07,101,phone,3.3
2024-06-08,64,email,41.4
2024-06-09,53,phone,15.9
2024-06-10,116,chat,28.0
2024-06-11,129,email,3.7
2024-06-12,127,phone,3.8
2024-06-13,111,phone,49.2
2024-06-14,128,email,16.5
2024-06-15,56,email,41.2
2024-06-16,63,chat,29.5
2024-06-17,127,chat,56.6
2024-06-18,129,chat,42.1
2024-06-19,121,phone,47.5
2024-06-20,123,email,39.4
2024-06-21,112,email,18.3
2024-06-22,44,chat,24.1
2024-06-23,54,chat,12.5
2024-06-24,131,chat,29.2
2024-06-25,107,phone,84.9
2024-06-26,133,chat,29.8
2024-06-27,130,phone,22.3
2024-06-28,130,email,23.8
2024-06-29,224,email,24.9
2024-06-30,60,phone,79.3
2024-07-01,127,phone,56.4
2024-07-02,135,email,16.5
2024-07-03,326,chat,7.9
2024-07-04,129,phone,17.9
2024-07-05,121,email,34.2
2024-07-06,58,chat,85.3
2024-07-07,50,chat,48.0
2024-07-08,116,email,73.2
2024-07-09,103,chat,21.2
2024-07-10,103,email,29.8
2024-07-11,114,email,33.5
2024-07-12,123,email,36.0
2024-07-13,58,phone,24.6
2024-07-14,50,phone,69.0
2024-07-15,100,email,10.4
2024-07-16,116,phone,10.9
2024-07-17,135,email,10.6
2024-07-18,135,email,42.6
2024-07-19,119,email,35.2
2024-07-20,52,phone,83.5
2024-07-21,52,chat,9.5
2024-07-22,120,chat,42.9
2024-07-23,129,email,30.9
2024-07-24,128,email,44.4
2024-07-25,137,email,27.2
2024-07-26,137,email,12.5
2024-07-27,258,chat,51.5
2024-07-28,50,email,48.7
2024-07-29,123,chat,67.3
2024-07-30,109,chat,24.5
2024-07-31,117,email,21.2
2024-08-01,102,chat,22.6
2024-08-02,115,email,8.0
2024-08-03,49,email,52.1
2024-08-04,49,email,167.6
2024-08-05,138,email,39.6
2024-08-06,90,chat,4.6
2024-08-07,120,email,63.5
2024-08-08,124,phone,28.2
2024-08-09,128,phone,7.4
2024-08-10,54,email,25.7
2024-08-11,48,email,72.2
2024-08-12,138,chat,60.7
2024-08-13,117,email,39.4
2024-08-14,132,email,11.0
2024-08-15,109,chat,10.3
2024-08-16,122,phone,67.1
2024-08-17,53,email,2.3
2024-08-18,59,email,7.0
2024-08-19,115,phone,11.4
2024-08-20,108,email,84.0
2024-08-21,121,email,4.5
2024-08-22,122,chat,7.8
2024-08-23,139,chat,22.2
2024-08-24,56,chat,40.2
2024-08-25,50,phone,44.0
2024-08-26,131,email,31.8
2024-08-27,111,email,11.8
2024-08-28,121,email,27.3
2024-08-29,115,email,39.3
2024-08-30,115,email,31.2
2024-08-31,257,email,8.4
2024-09-01,56,email,17.5
2024-09-02,127,email,44.0
2024-09-03,113,email,44.8
2024-09-04,112,chat,25.8
2024-09-05,123,email,21.8
2024-09-06,130,chat,43.1
2024-09-07,53,email,7.4
2024-09-08,61,email,24.4
2024-09-09,155,email,17.2
2024-09-10,113,chat,34.8
2024-09-11,114,phone,67.3
2024-09-12,149,chat,11.4
2024-09-13,116,chat,18.6
2024-09-14,378,email,4.9
2024-09-15,57,chat,21.1
2024-09-16,125,email,40.3
2024-09-17,104,chat,6.8
2024-09-18,478,email,25.7
2024-09-19,114,chat,10.4
2024-09-20,123,email,96.5
2024-09-21,50,email,17.4
2024-09-22,58,email,77.8
2024-09-23,128,email,11.5
2024-09-24,127,chat,30.7
2024-09-25,113,email,39.7
2024-09-26,112,email,9.2
2024-09-27,121,email,34.1
2024-09-28,53,email,52.7
2024-09-29,45,email,19.5
2024-09-30,127,chat,12.9
2024-10-01,133,chat,43.0
2024-10-02,347,chat,32.9
2024-10-03,129,phone,107.6
2024-10-04,117,email,47.0
2024-10-05,55,email,36.8
2024-10-06,54,email,113.3
2024-10-07,475,chat,44.4
2024-10-08,122,chat,17.2
2024-10-09,131,chat,14.9
2024-10-10,126,email,56.5
2024-10-11,113,email,18.5
2024-10-12,49,chat,53.3
2024-10-13,55,chat,20.0
2024-10-14,103,email,89.5
2024-10-15,129,phone,2.6
2024-10-16,134,phone,51.5
2024-10-17,117,chat,38.3
2024-10-18,127,email,24.8
2024-10-19,42,email,11.8
2024-10-20,52,chat,30.4
2024-10-21,117,chat,3.7
2024-10-22,119,email,51.1
2024-10-23,125,email,53.2
2024-10-24,136,email,35.3
2024-10-25,120,email,64.5
2024-10-26,54,email,16.0
2024-10-27,52,email,14.2
2024-10-28,444,email,23.8
2024-10-29,125,email,37.0
2024-10-30,130,phone,40.7
2024-10-31,111,chat,17.3
2024-11-01,91,email,67.1
2024-11-02,61,phone,8.5
2024-11-03,61,email,22.8
2024-11-04,134,phone,32.1
2024-11-05,117,phone,12.6
2024-11-06,123,chat,38.8
2024-11-07,122,email,23.1
2024-11-08,127,email,29.6
2024-11-09,65,email,50.7
2024-11-10,329,email,22.4
2024-11-11,113,phone,21.8
2024-11-12,136,phone,17.4
2024-11-13,118,email,9.7
2024-11-14,128,email,51.7
2024-11-15,112,chat,21.3
2024-11-16,54,phone,42.6
2024-11-17,45,phone,1.3
2024-11-18,110,chat,34.7
2024-11-19,113,email,53.9
2024-11-20,123,email,17.5
2024-11-21,124,phone,19.8
2024-11-22,114,chat,40.7
2024-11-23,48,chat,8.9
2024-11-24,53,email,12.3
2024-11-25,122,email,20.6
2024-11-26,142,email,29.8
2024-11-27,124,chat,33.9
2024-11-28,123,phone,7.8
2024-11-29,123,phone,31.5
2024-11-30,316,email,1.5
2024-12-01,48,chat,21.1
2024-12-02,123,chat,5.9
2024-12-03,117,chat,19.8
2024-12-04,132,chat,66.3
2024-12-05,120,chat,13.9
2024-12-06,129,email,22.8
2024-12-07,54,email,18.7
2024-12-08,58,email,56.0
2024-12-09,119,email,19.1
2024-12-10,123,chat,40.1
2024-12-11,120,chat,49.3
2024-12-12,115,phone,37.0
2024-12-13,125,phone,21.4
2024-12-14,52,chat,48.0
2024-12-15,58,chat,15.7
2024-12-16,132,email,53.5
2024-12-17,119,chat,49.8
2024-12-18,125,email,10.9
2024-12-19,139,chat,29.2
2024-12-20,104,email,30.3
2024-12-21,56,chat,2.8
2024-12-22,193,chat,9.9
2024-12-23,391,email,28.4
2024-12-24,105,chat,20.5
2024-12-25,119,email,21.2
2024-12-26,127,phone,37.7
2024-12-27,143,chat,53.7
2024-12-28,58,phone,17.9
2024-12-29,54,chat,14.1
2024-12-30,133,email,23.2
